Variable	DescrCA	DescrES	DescrEN	Valor_Value	LabelCA	LabelES	LabelEN
PB010	Any de l'enquesta	Año de la encuesta	Survey year				
PB020	País	País	Country				
PB020				ES	Codi del país	Código de país	Country code
PB030 	Identificació transversal de la persona	Identificación transversal de la persona	Cross-sectional person identification				
PB040	Factor de ponderació personal transversal multiplicat per 100.000 (tots els membres de la llar de 16 anys o més) (factor de ponderació = PB040 / 100.000)	Factor de ponderación personal transversal multiplicado por 100.000 (todos los miembros del hogar de 16 años o más) (Factor ponderación = PB040 / 100.000)	Cross-sectional personal weighting factor multiplied by 100,000 (all household members aged 16 and over) (weighting factor = PB040 / 100,000)				
PB040_F 	Variable que indica si PB040 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB040 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB040 is complete, if it is missing or if it is not applicable in the record in question.				
PB040_F 				1	Variable completada	Variable completada	Variable completed
PB100	Mes de l'entrevista	Mes de la entrevista	Month of the interview				
PB100				1	Gener	Enero	January
PB100				2	Febrer	Febrero	February
PB100				3	Març	Marzo	March
PB100				4	Abril	Abril	April
PB100				5	Maig	Mayo	May
PB100				6	Juny	Junio	June
PB100				7	Juliol	Julio	July
PB100				8	Agost	Agosto	August
PB100				9	Setembre	Septiembre	September
PB100				10	Octubre	Octubre	October
PB100				11	Novembre	Noviembre	November
PB100				12	Desembre	Diciembre	December
PB100_F	Variable que indica si PB100 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB100 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB100 is complete, if it is missing or if it is not applicable in the record in question.				
PB100_F				1	Variable completada	Variable completada	Variable completed
PB100_F				97	No hi consta	No consta	No answer
PB110 	Any de l'entrevista	Año de la entrevista	Year of the interview				
PB110_F	Variable que indica si PB110 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB110 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB110 is complete, if it is missing or if it is not applicable in the record in question.				
PB110_F				1	Variable completada	Variable completada	Variable completed
PB110_F				97	No hi consta	No consta	No answer
PB120	Nombre de minuts emprats a emplenar el qüestionari sobre la llar	Número de minutos empleados en cumplimentar el cuestionario	Number of minutes taken to complete the household questionnaire				
PB120_F 	Variable que indica si PB120 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB120 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB120 is complete, if it is missing or if it is not applicable in the record in question.				
PB120_F 				1	Variable completada	Variable completada	Variable completed
PB120_F 				97	No hi consta	No consta	No answer
PB140 	Any de naixement	Año de nacimiento	Year of birth				
PB140_F	Variable que indica si PB140 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB140 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB140 is complete, if it is missing or if it is not applicable in the record in question.				
PB140_F				1	Variable completada	Variable completada	Variable completed
PB150 	Sexe	Sexo	Sex				
PB150 				1	Home	Varón	Man
PB150 				2	Dona	Mujer	Woman
PB150_F 	Variable que indica si PB150 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB150 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB150 is complete, if it is missing or if it is not applicable in the record in question.				
PB150_F 				1	Variable completada	Variable completada	Variable completed
PB160 	Identificació del pare	Identificación del padre	Identification of the father				
PB160_F 	Variable que indica si PB160 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB160 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB160 is complete, if it is missing or if it is not applicable in the record in question.				
PB160_F 				1	Variable completada	Variable completada	Variable completed
PB160_F 				96	N.A. (El pare no és membre de la llar o no té pare)	N.A. (El padre no es miembro del hogar o no tiene padre)	N/A (The father is not a member of the household or he/she has no father)
PB170 	Identificació de la mare	Identificación de la madre	Identification of the mother				
PB170_F	Variable que indica si PB170 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB170 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB170 is complete, if it is missing or if it is not applicable in the record in question.				
PB170_F				1	Variable completada	Variable completada	Variable completed
PB170_F				96	N.A. (La mare no és membre de la llar o no té mare)	N.A. (La madre no es miembro del hogar o no tiene madre)	N/A (The mother is not a member of the household or he/she has no mother)
PB180 	Identificació del cònjugue/parella	Identificación del cónyuge/pareja	Identification of spouse/partner				
PB180_F 	Variable que indica si PB180 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB180 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB180 is complete, if it is missing or if it is not applicable in the record in question.				
PB180_F 				1	Variable completada	Variable completada	Variable completed
PB180_F 				96	N.A. (No té cònjuge o parella o no és membre de la llar)	N.A. (No tiene cónyuge o pareja o ésta no es miembro del hogar)	N/A (He/she has no spouse or partner or he/she is not a member of the household)
PB190 	Estat civil	Estado civil	Marital status				
PB190 				1	Solter	Soltero	Single
PB190 				2	Casat	Casado	Married
PB190 				3	Separat	Separado	Separate
PB190 				4	Vidu	Viudo	Widower
PB190 				5	Divorciat	Divorciado	Divorced
PB190_F 	Variable que indica si PB190 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB190 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB190 is complete, if it is missing or if it is not applicable in the record in question.				
PB190_F 				1	Variable completada	Variable completada	Variable completed
PB190_F 				97	No hi consta	No consta	No answer
PB200 	Cònjugue o parella de fet	Cónyuge o pareja de hecho	Spouse or common-law partner				
PB200 				1	Sí, amb base jurídica	Sí, con base jurídica	Yes, with a legal basis
PB200 				2	Sí, sense base jurídica	Sí, sin base jurídica	Yes, without a legal basis
PB200 				3	No	No	No
PB200_F 	Variable que indica si PB200 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB200 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB200 is complete, if it is missing or if it is not applicable in the record in question.				
PB200_F 				1	Variable completada	Variable completada	Variable completed
PB200_F 				97	No hi consta	No consta	No answer
PB205	Amb parella vivint a la mateixa llar	Con pareja viviendo en el mismo hogar	With a partner living in the same household				
PB205				1	Sí, vivint amb cònjuge o parella	Sí, viviendo con cónyuge o pareja	Yes, living with spouse or partner
PB205				2	No, no vivint ni amb cònjuge ni amb parella	No, no viviendo ni con cónyuge ni con pareja	No, not living with spouse or partner
PB205_F	Variable que indica si PB205 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB205 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB205 is complete, if it is missing or if it is not applicable in the record in question.				
PB205_F				1	Variable completada	Variable completada	Variable completed
PB205_F				97	No hi consta	No consta	No answer
PB230	País de naixement del pare	País de nacimiento del padre	Father’s country of birth				
PB230				1	Espanya	España	Spain
PB230				2	Estranger (resta de la Unió Europea -a partir d'ECV2020, UE-27, després de la sortida del Regne Unit de la UE)	Extranjero (resto de la Unión Europea -a partir de ECV2020, UE-27, tras la salida del Reino Unido de la UE )	Foreign (rest of the European Union - from SLC2020 onwards, EU-27, after UK withdrawal from the EU)
PB230				3	Estranger (resta del món)	Extranjero (resto del mundo)	Foreigner (rest of the world)
PB230_F	Variable que indica si PB230 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB230 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB230 is complete, if it is missing or if it is not applicable in the record in question.				
PB230_F				1	Variable completada	Variable completada	Variable completed
PB230_F				97	No hi consta	No consta	No answer
PB240	País de naixement de la mare	País de nacimiento de la madre	Mother’s country of birth				
PB240				1	Espanya	España	Spain
PB240				2	Estranger (resta de la Unió Europea -a partir d'ECV2020, UE-27, després de la sortida del Regne Unit de la UE)	Extranjero (resto de la Unión Europea -a partir de ECV2020, UE-27, tras la salida del Reino Unido de la UE )	Foreign (rest of the European Union - from SLC2020 onwards, EU-27, after UK withdrawal from the EU)
PB240				3	Estranger (resta del món)	Extranjero (resto del mundo)	Foreigner (rest of the world)
PB240_F	Variable que indica si PB240 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB240 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB240 is complete, if it is missing or if it is not applicable in the record in question.				
PB240_F				1	Variable completada	Variable completada	Variable completed
PB240_F				97	No hi consta	No consta	No answer
PE010 	Actualment està cursant algun tipus d'estudis o de formació?	¿Está cursando actualmente algún tipo de estudios o de formación?	Are you currently studying or training?				
PE010 				1	Sí	Sí	Yes
PE010 				2	No	No	No
PE010_F	Variable que indica si PE010 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PE010 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PE010 is complete, if it is missing or if it is not applicable in the record in question.				
PE010_F				1	Variable completada	Variable completada	Variable completed
PE010_F				97	No hi consta	No consta	No answer
PE021	Nivell d'estudis que està cursant	Nivel de los estudios que está realizando	Level of education he/she is studying				
PE021				0	Menys que primària	Menos que primaria	Less than primary
PE021				10	Educació primària	Educación primaria	Primary education
PE021				20	Primera etapa d'educació secundària	Primera etapa de Educación Secundaria	First stage of secondary education
PE021				30	Segona etapa d'educació secundària	Segunda etapa de Educación Secundaria	Second stage of secondary education
PE021				34	Per a persones d'entre 16 i 34 anys: Orientació general	Para personas de 16 a 34 años: Orientación general	For people aged 16 to 34: General guidance
PE021				35	Per a persones d'entre 16 i 34 anys: Orientació professional	Para personas de 16 a 34 años: Orientación profesional	For people aged 16 to 34: Career guidance
PE021				40	Educació postsecundària no superior	Educación postsecundaria no superior	Non-higher post-secondary education
PE021				45	Per a persones d'entre 16 i 34 anys: Orientació professional	Para personas de 16 a 34 años: Orientación profesional	For people aged 16 to 34: Career guidance
PE021				50	Educació superior	Educación superior	Higher education
PE021_F	Variable que indica si PE021 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PE021 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PE021 is complete, if it is missing or if it is not applicable in the record in question.				
PE021_F				1	Variable completada	Variable completada	Variable completed
PE021_F				96	N.A. (Si PE010 ≠ 1)	N.A. (Si PE010 ≠ 1)	N/A (If PE010 ≠ 1)
PE021_F				97	No hi consta	No consta	No answer
PE041	Nivell dels estudis finalitzats	Nivel de los estudios terminados	Level of studies completed				
PE041				0	Menys que primària	Menos que primaria	Less than primary
PE041				100	Educació primària	Educación primaria	Primary education
PE041				200	Primera etapa d'educació secundària	Primera etapa de Educación Secundaria	First stage of secondary education
PE041				340	Segona etapa d'educació secundària: Orientació general	Segunda etapa de Educación Secundaria: Orientación general	Second stage of secondary education: General guidance
PE041				344	Per a persones d'entre 16 i 34 anys: Orientació general	Para personas de 16 a 34 años: Orientación general	For people aged 16 to 34: General guidance
PE041				350	Segona etapa d'educació secundària: Orientació professional	Segunda etapa de Educación Secundaria: Orientación profesional	Second stage of secondary education: Career guidance
PE041				353	Per a persones d'entre 16 i 34 anys: Orientació professional (sense accés directe a educació superior)	Para personas de 16 a 34 años: Orientación profesional (sin acceso directo a educación superior)	For people aged 16 to 34: Career guidance (without direct access to higher education)
PE041				354	Per a persones de 16 a 34 anys: Orientació professional (amb accés directe a educació superior).	Para personas de 16 a 34 años: Orientación profesional (con acceso directo a educación superior).	For 16-34-year-olds: Career guidance (with direct access to higher education).
PE041				450	Educació postsecundària no superior	Educación postsecundaria no superior	Non-higher post-secondary education
PE041				500	Educació superior	Educación superior	Higher education
PE041_F	Variable que indica si PE041 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PE041 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PE041 is complete, if it is missing or if it is not applicable in the record in question.				
PE041_F				1	Variable completada	Variable completada	Variable completed
PE041_F				97	No hi consta	No consta	No answer
PL032	Situació en relació amb l'activitat definida per l'interessat	Situación en relación con la actividad definida por el interesado	Situation in relation to the activity defined by the person concerned				
PL032				1	Treballant (assalariat o treballador per compte propi)	Trabajando (asalariado o trabajador por cuenta propia)	Working (employed or self-employed)
PL032				2	Aturat	Parado	Unemployed
PL032				3	Jubilat, retirat, jubilat anticipat o ha tancat un negoci	Jubilado, retirado, jubilado anticipado o ha cerrado un negocio	Retired, early retired or has closed a business
PL032				4	Incapacitat permanent per treballar	Incapacitado permanente para trabajar	Permanent incapacity to work
PL032				5	Estudiant, escolar o en formació	Estudiante, escolar o en formación	Student, school pupil or trainee
PL032				6	Dedicat a les feines de la llar, a la cura de nens o altres persones	Dedicado a las labores del hogar, al cuidado de niños u otras personas	Dedicated to homemaking or caring for children or other people
PL032				8	Una altra classe d'inactivitat econòmica	Otra clase de inactividad económica	Other class of economic inactivity
PL032_F	Variable que indica si PL032 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PL032 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL032 is complete, if it is missing or if it is not applicable in the record in question.				
PL032_F				1	Variable completada	Variable completada	Variable completed
PL032_F				97	No hi consta	No consta	No answer
PL016	Ha treballat algua vegada?	¿Ha trabajado alguna vez?	Have you ever worked?				
PL016				1	No	No	No
PL016				2	Sí, però només de manera ocasional	Sí, pero solo de forma ocasional	Yes, but only occasionally
PL016				3	Sí, de manera regular	Sí, de forma regular	Yes, on a regular basis
PL016_F	Variable que indica si PL016 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PL016 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL016 is complete, if it is missing or if it is not applicable in the record in question.				
PL016_F				1	Variable completada	Variable completada	Variable completed
PL016_F				96	N.A. (Si PL032 ≠ 1)	N.A. (Si PL032 ≠ 1)	N/A (If PL032 ≠ 1)
PL016_F				97	No hi consta	No consta	No answer
PL040A	Situació professional (última ocupació principal)	Situación profesional (último empleo principal)	Professional status (last main occupation)				
PL040A				1	Ocupador	Empleador	Employer
PL040A				2	Empresari sense assalariats o treballador independent	Empresario sin asalariados o trabajador independiente	Sole trader
PL040A				3	Assalariat	Asalariado	Employee
PL040A				4	Ajuda familiar	Ayuda familiar	Domestic help
