trimestre,comarques i Aran,concepte,sexe,estat,valor
T2/2020,Alt Camp,ingressos hospitalaris,homes,,3
T2/2020,Alt Camp,ingressos hospitalaris,dones,,3
T2/2020,Alt Camp,ingressos hospitalaris,total,,6
T2/2020,Alt Camp,ingressos hospitalaris per cada 1.000 habitants,homes,,0.1
T2/2020,Alt Camp,ingressos hospitalaris per cada 1.000 habitants,dones,,0.1
T2/2020,Alt Camp,ingressos hospitalaris per cada 1.000 habitants,total,,0.1
T2/2020,Alt Empordà,ingressos hospitalaris,homes,,17
T2/2020,Alt Empordà,ingressos hospitalaris,dones,,3
T2/2020,Alt Empordà,ingressos hospitalaris,total,,20
T2/2020,Alt Empordà,ingressos hospitalaris per cada 1.000 habitants,homes,,0.2
T2/2020,Alt Empordà,ingressos hospitalaris per cada 1.000 habitants,dones,,0.0
T2/2020,Alt Empordà,ingressos hospitalaris per cada 1.000 habitants,total,,0.1
T2/2020,Alt Penedès,ingressos hospitalaris,homes,,12
T2/2020,Alt Penedès,ingressos hospitalaris,dones,,11
T2/2020,Alt Penedès,ingressos hospitalaris,total,,23
T2/2020,Alt Penedès,ingressos hospitalaris per cada 1.000 habitants,homes,,0.2
T2/2020,Alt Penedès,ingressos hospitalaris per cada 1.000 habitants,dones,,0.2
T2/2020,Alt Penedès,ingressos hospitalaris per cada 1.000 habitants,total,,0.2
T2/2020,Alt Urgell,ingressos hospitalaris,homes,,2
T2/2020,Alt Urgell,ingressos hospitalaris,dones,,2
T2/2020,Alt Urgell,ingressos hospitalaris,total,,4
T2/2020,Alt Urgell,ingressos hospitalaris per cada 1.000 habitants,homes,,0.2
T2/2020,Alt Urgell,ingressos hospitalaris per cada 1.000 habitants,dones,,0.2
T2/2020,Alt Urgell,ingressos hospitalaris per cada 1.000 habitants,total,,0.2
T2/2020,Alta Ribagorça,ingressos hospitalaris,homes,,0
T2/2020,Alta Ribagorça,ingressos hospitalaris,dones,,0
T2/2020,Alta Ribagorça,ingressos hospitalaris,total,,0
T2/2020,Alta Ribagorça,ingressos hospitalaris per cada 1.000 habitants,homes,,0.0
T2/2020,Alta Ribagorça,ingressos hospitalaris per cada 1.000 habitants,dones,,0.0
T2/2020,Alta Ribagorça,ingressos hospitalaris per cada 1.000 habitants,total,,0.0
T2/2020,Anoia,ingressos hospitalaris,homes,,24
T2/2020,Anoia,ingressos hospitalaris,dones,,25
T2/2020,Anoia,ingressos hospitalaris,total,,49
T2/2020,Anoia,ingressos hospitalaris per cada 1.000 habitants,homes,,0.4
