trimestre,comarques i Aran,concepte,sexe,estat,valor
T1/2020,Alt Camp,defuncions,homes,,6
T1/2020,Alt Camp,defuncions,dones,,4
T1/2020,Alt Camp,defuncions,total,,10
T1/2020,Alt Camp,defuncions per cada 1.000 habitants,homes,,0.3
T1/2020,Alt Camp,defuncions per cada 1.000 habitants,dones,,0.2
T1/2020,Alt Camp,defuncions per cada 1.000 habitants,total,,0.2
T1/2020,Alt Empordà,defuncions,homes,,1
T1/2020,Alt Empordà,defuncions,dones,,1
T1/2020,Alt Empordà,defuncions,total,,2
T1/2020,Alt Empordà,defuncions per cada 1.000 habitants,homes,,0.0
T1/2020,Alt Empordà,defuncions per cada 1.000 habitants,dones,,0.0
T1/2020,Alt Empordà,defuncions per cada 1.000 habitants,total,,0.0
T1/2020,Alt Penedès,defuncions,homes,,11
T1/2020,Alt Penedès,defuncions,dones,,11
T1/2020,Alt Penedès,defuncions,total,,22
T1/2020,Alt Penedès,defuncions per cada 1.000 habitants,homes,,0.2
T1/2020,Alt Penedès,defuncions per cada 1.000 habitants,dones,,0.2
T1/2020,Alt Penedès,defuncions per cada 1.000 habitants,total,,0.2
T1/2020,Alt Urgell,defuncions,homes,,3
T1/2020,Alt Urgell,defuncions,dones,,0
T1/2020,Alt Urgell,defuncions,total,,3
T1/2020,Alt Urgell,defuncions per cada 1.000 habitants,homes,,0.3
T1/2020,Alt Urgell,defuncions per cada 1.000 habitants,dones,,0.0
T1/2020,Alt Urgell,defuncions per cada 1.000 habitants,total,,0.1
T1/2020,Alta Ribagorça,defuncions,homes,,0
T1/2020,Alta Ribagorça,defuncions,dones,,0
T1/2020,Alta Ribagorça,defuncions,total,,0
T1/2020,Alta Ribagorça,defuncions per cada 1.000 habitants,homes,,0.0
T1/2020,Alta Ribagorça,defuncions per cada 1.000 habitants,dones,,0.0
T1/2020,Alta Ribagorça,defuncions per cada 1.000 habitants,total,,0.0
T1/2020,Anoia,defuncions,homes,,135
T1/2020,Anoia,defuncions,dones,,116
T1/2020,Anoia,defuncions,total,,251
T1/2020,Anoia,defuncions per cada 1.000 habitants,homes,,2.2
T1/2020,Anoia,defuncions per cada 1.000 habitants,dones,,1.9
T1/2020,Anoia,defuncions per cada 1.000 habitants,total,,2.0
T1/2020,Aran,defuncions,homes,,1
T1/2020,Aran,defuncions,dones,,2
T1/2020,Aran,defuncions,total,,3
T1/2020,Aran,defuncions per cada 1.000 habitants,homes,,0.2
T1/2020,Aran,defuncions per cada 1.000 habitants,dones,,0.4
T1/2020,Aran,defuncions per cada 1.000 habitants,total,,0.3
T1/2020,Bages,defuncions,homes,,73
T1/2020,Bages,defuncions,dones,,61
T1/2020,Bages,defuncions,total,,134
T1/2020,Bages,defuncions per cada 1.000 habitants,homes,,0.8
T1/2020,Bages,defuncions per cada 1.000 habitants,dones,,0.7
T1/2020,Bages,defuncions per cada 1.000 habitants,total,,0.7
T1/2020,Baix Camp,defuncions,homes,,9
T1/2020,Baix Camp,defuncions,dones,,6
T1/2020,Baix Camp,defuncions,total,,15
T1/2020,Baix Camp,defuncions per cada 1.000 habitants,homes,,0.1
T1/2020,Baix Camp,defuncions per cada 1.000 habitants,dones,,0.1
T1/2020,Baix Camp,defuncions per cada 1.000 habitants,total,,0.1
T1/2020,Baix Ebre,defuncions,homes,,3
T1/2020,Baix Ebre,defuncions,dones,,4
T1/2020,Baix Ebre,defuncions,total,,7
T1/2020,Baix Ebre,defuncions per cada 1.000 habitants,homes,,0.1
T1/2020,Baix Ebre,defuncions per cada 1.000 habitants,dones,,0.1
T1/2020,Baix Ebre,defuncions per cada 1.000 habitants,total,,0.1
T1/2020,Baix Empordà,defuncions,homes,,8
T1/2020,Baix Empordà,defuncions,dones,,9
T1/2020,Baix Empordà,defuncions,total,,17
T1/2020,Baix Empordà,defuncions per cada 1.000 habitants,homes,,0.1
T1/2020,Baix Empordà,defuncions per cada 1.000 habitants,dones,,0.1
T1/2020,Baix Empordà,defuncions per cada 1.000 habitants,total,,0.1
T1/2020,Baix Llobregat,defuncions,homes,,260
T1/2020,Baix Llobregat,defuncions,dones,,177
T1/2020,Baix Llobregat,defuncions,total,,437
T1/2020,Baix Llobregat,defuncions per cada 1.000 habitants,homes,,0.6
T1/2020,Baix Llobregat,defuncions per cada 1.000 habitants,dones,,0.4
T1/2020,Baix Llobregat,defuncions per cada 1.000 habitants,total,,0.5
T1/2020,Baix Penedès,defuncions,homes,,9
T1/2020,Baix Penedès,defuncions,dones,,13
T1/2020,Baix Penedès,defuncions,total,,22
T1/2020,Baix Penedès,defuncions per cada 1.000 habitants,homes,,0.2
T1/2020,Baix Penedès,defuncions per cada 1.000 habitants,dones,,0.2
