Variable	DescrCA	DescrES	DescrEN	Valor_Value	LabelCA	LabelES	LabelEN
RB010	Any de l'enquesta	Año de la encuesta	Survey year				
RB020	País	País	Country				
RB020				ES	Espanya	España	Spain
RB030	Factor transversal de la persona	Identificador transversal de la persona	Cross-sectional person factor				
RB050	Factor de ponderació transversal multiplicat per 100.000 (factor de ponderació real = RB050 / 100.000)	Factor de ponderación transversal multiplicat per 100.000 (factor de ponderación real = RB050 / 100.000)	Cross-sectional weighting factor multiplied by 100,000 (real weighting factor = RB050 / 100,000)				
RB050_F	Variable que indica si RB050 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si RB050 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if RB050 is complete, if it is missing or if it is not applicable in the record in question.				
RB050_F				97	No hi consta	No consta	No answer
RB050_F				01	Variable completada	Variable completada	Variable completed
RB070	Mes de naixement	Mes de nacimiento	Month of birth				
RB070				01	Gener	Enero	January
RB070				02	Febrer	Febrero	February
RB070				03	Març	Marzo	March
RB070				04	Abril	Abril	April
RB070				05	Maig	Mayo	May
RB070				06	Juny	Junio	June
RB070				07	Juliol	Julio	July
RB070				08	Agost 	Agosto	August
RB070				09	Setembre	Septiembre	September
RB070				10	Octubre	Octubre	October
RB070				11	Novembre	Noviembre	November
RB070				12	Desembre	Diciembre	December
RB070_F	Variable que indica si RB070 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si RB070 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if RB070 is complete, if it is missing or if it is not applicable in the record in question.				
RB070_F				97	No hi consta	No consta	No answer
RB070_F				01	Variable completada	Variable completada	Variable completed
RB080	Any de naixement	Año de nacimiento	Year of birth				
RB080				(RB010)-86	Persones de 85 anys o més	Personas de 85 o más años	People aged 85 or over
RB080				(RB010)-85 a RB010	Resta. Any de naixement	Resto. Año de nacimiento	Other. Year of birth
RB080_F	Variable que indica si RB080 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si RB080 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if RB080 is complete, if it is missing or if it is not applicable in the record in question.				
RB080_F				97	No hi consta	No consta	No answer
RB080_F				01	Variable completada	Variable completada	Variable completed
RB090	Sexe	Sexo	Sex				
RB090				1	Home	Varón	Man
RB090				2	Dona	Mujer	Woman
RB090_F	Variable que indica si RB090 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si RB090 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if RB090 is complete, if it is missing or if it is not applicable in the record in question.				
RB090_F				97	No hi consta	No consta	No answer
RB090_F				01	Variable completada	Variable completada	Variable completed
RB200	Situació pel que fa a la residència a la llar	Situación respecto a la residencia en el hogar	Household residence situation				
RB200				1	Actualment viu a la llar	Vive actualmente en el hogar	Currently lives in the household
RB200				2	Absent temporalment	Ausente temporalmente	Temporarily absent
RB200_F	Variable que indica si RB200 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si RB200 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if RB200 is complete, if it is missing or if it is not applicable in the record in question.				
RB200_F				97	No hi consta	No consta	No answer
